;0;1;2;3;4;5;6;7
226;$22per hour;Albuquerque, NM, US;Intern;Jun '22;< 1 Years of Experience;21-25 Years old;35.0841034;-106.650985
227;$63,000per year;Dallas, TX, US;Interior Designer;Jun '22;1 Years of Experience;26-30 Years old;32.7762719;-96.7968559
228;$48,000per year;Columbus, OH, US;Designer;Jun '22;1 Years of Experience;21-25 Years old;39.9622601;-83.0007065
229;$95,000per year;Los Angeles, CA, US;Senior Designer;Jun '22;8-10 Years of Experience;31-35 Years old;34.0536909;-118.242766
230;$75,000per year;Los Angeles, CA, US;Project Manager;Jun '22;3-5 Years of Experience;26-30 Years old;34.0536909;-118.242766
231;£28,000per year;Glasgow, GB;Intermediate Architect;Jun '22;2 Years of Experience;21-25 Years old;55.8609825;-4.2488787
232;$77,000per year;Austin, TX, US;Project Architect;Jun '22;3-5 Years of Experience;26-30 Years old;30.2711286;-97.7436995
233;$70,000per year;Brooklyn, NY, US;Intermediate Designer;Jun '22;3-5 Years of Experience;26-30 Years old;40.6526006;-73.9497211
234;$50,000per year;Philadelphia, PA, US;Designer;Jun '22;< 1 Years of Experience;26-30 Years old;39.9527237;-75.1635262
235;€31,200per year;Madrid, ES;Intermediate Architect;Jun '22;8-10 Years of Experience;31-35 Years old;40.4167047;-3.7035825
236;AUD$77,000per year;Melbourne, AU;Intermediate Architect;Jun '22;3-5 Years of Experience;31-35 Years old;-37.8142176;144.9631608
237;$10per hour;Houston, TX, US;Intern;Jun '22;1 Years of Experience;21-25 Years old;29.7589382;-95.3676974
238;$54,000per year;Washington, DC, US;Designer;Jun '22;3-5 Years of Experience;21-25 Years old;38.8950368;-77.0365427
239;$63,000per year;Chicago, IL, US;Junior Architect;Jun '22;< 1 Years of Experience;21-25 Years old;41.8755616;-87.6244212
240;$65,000per year;Fort Worth, TX, US;Junior Architect;Jun '22;6-7 Years of Experience;26-30 Years old;32.753177;-97.3327459
241;MXN$240,000per year;Mexico, MX;Project Architect;Jun '22;1 Years of Experience;26-30 Years old;23.6585116;-102.0077097
242;$50,000per year;Houston, TX, US;Project Manager;Jun '22;< 1 Years of Experience;26-30 Years old;29.7589382;-95.3676974
243;AUD$67,000per year;Brisbane, AU;Junior Architect;Jun '22;3-5 Years of Experience;26-30 Years old;-27.4689682;153.0234991
244;$48,000per year;Richmond, VA, US;Associate;Jun '22;< 1 Years of Experience;21-25 Years old;37.5385087;-77.43428
245;CAD$62,500per year;Toronto, ON, CA;Project Architect;Jun '22;3-5 Years of Experience;31-35 Years old;43.6534817;-79.3839347
246;$88,000per year;New York, NY, US;Intermediate Designer;Jun '22;6-7 Years of Experience;31-35 Years old;40.7127281;-74.0060152
247;$26per hour;Boston, MA, US;Designer;Jun '22;1 Years of Experience;21-25 Years old;42.3554334;-71.060511
248;€18,600per year;Barcelona, ES;Intermediate Architect;Jun '22;3-5 Years of Experience;31-35 Years old;41.3828939;2.1774322
249;$60,000per year;Los Angeles, CA, US;Junior Designer;Jun '22;2 Years of Experience;26-30 Years old;34.0536909;-118.242766
250;$62,000per year;Columbus, OH, US;Associate;Jun '22;3 Years of Experience;26-30 Years old;39.9622601;-83.0007065
251;£30,000per year;London, GB;Junior Architect;Jun '22;2 Years of Experience;26-30 Years old;51.5073219;-0.1276474
252;$82,000per year;Seattle, WA, US;Intermediate Architect;Jun '22;6-7 Years of Experience;26-30 Years old;47.6038321;-122.3300624
253;$72,000per year;Richmond, VA, US;Project Architect;Jun '22;8-10 Years of Experience;31-35 Years old;37.5385087;-77.43428
254;£27,000per year;Leicester, GB;Junior Architect;Jun '22;2 Years of Experience;26-30 Years old;52.6361398;-1.1330789
255;$90,000per year;New York, NY, US;Project Architect;Jun '22;8-10 Years of Experience;31-35 Years old;40.7127281;-74.0060152
256;67,500 (local currency)per year;Auckland, NZ;Junior Architect;Jun '22;3-5 Years of Experience;26-30 Years old;-36.852095;174.7631803
257;$10per hour;Puerto Rico, US;Intern;Jun '22;< 1 Years of Experience;21-25 Years old;18.19897685;-66.26152219418967
258;€8per hour;Barcelona, ES;Intern;Jun '22;< 1 Years of Experience;21-25 Years old;41.3828939;2.1774322
259;$69,000per year;Pittsburgh, PA, US;Project Architect;Jun '22;11-15 Years of Experience;36-40 Years old;40.4416941;-79.9900861
260;$60,000per year;Richmond, VA, US;Junior Architect;Jun '22;2 Years of Experience;21-25 Years old;37.5385087;-77.43428
261;$72,000per year;Denver, CO, US;Junior Architect;Jun '22;3-5 Years of Experience;26-30 Years old;39.7392364;-104.9848623
262;$67,500per year;Nashville, TN, US;Associate;Jun '22;3-5 Years of Experience;21-25 Years old;36.1622767;-86.7742984
263;$79,000per year;New Orleans, LA, US;Associate;Jun '22;8-10 Years of Experience;36-40 Years old;29.9759983;-90.0782127
264;€30,000per year;Rome, IT;Intermediate Designer;Jun '22;3-5 Years of Experience;26-30 Years old;41.8933203;12.4829321
265;$25per hour;Los Angeles, CA, US;Junior Designer;Jun '22;< 1 Years of Experience;26-30 Years old;34.0536909;-118.242766
266;$78,000per year;New York, NY, US;Project Architect;Jun '22;3-5 Years of Experience;26-30 Years old;40.7127281;-74.0060152
267;72,000 (local currency)per year;United Arab Emirates;BIM Specialist;Jun '22;1 Years of Experience;26-30 Years old;24.0002488;53.9994829
268;$90,000per year;Philadelphia, PA, US;BIM Specialist;Jun '22;1 Years of Experience;26-30 Years old;39.9527237;-75.1635262
269;MXN$84,000per year;Monterrey, MX;Junior Architect;Jun '22;1 Years of Experience;21-25 Years old;25.6802019;-100.315258
270;$63,000per year;New York, NY, US;Junior Architect;Jun '22;1 Years of Experience;21-25 Years old;40.7127281;-74.0060152
271;730,000 (local currency)per year;Bergen, NO;Senior Architect;Jun '22;16-20 Years of Experience;41-45 Years old;60.3943055;5.3259192
272;$82,000per year;San Antonio, TX, US;Associate;Jun '22;8-10 Years of Experience;36-40 Years old;29.4246002;-98.4951405
273;$56,000per year;Nashville, TN, US;Intermediate Designer;Jun '22;3-5 Years of Experience;26-30 Years old;36.1622767;-86.7742984
274;$78,000per year;Parsippany, NJ, US;Designer;Jun '22;3-5 Years of Experience;31-35 Years old;40.8578772;-74.4259866
275;$73,000per year;New York, NY, US;Designer;Jun '22;1 Years of Experience;21-25 Years old;40.7127281;-74.0060152
276;$95,000per year;San Francisco, CA, US;Senior Designer;Jun '22;8-10 Years of Experience;31-35 Years old;37.7790262;-122.419906
277;$62,400per year;New York, NY, US;Junior Architect;Jun '22;2 Years of Experience;21-25 Years old;40.7127281;-74.0060152
278;$54,000per year;Pensacola, FL, US;Designer;Jun '22;3-5 Years of Experience;26-30 Years old;30.421309;-87.2169149
279;$86,500per year;Los Angeles, CA, US;Project Manager;Jun '22;6-7 Years of Experience;26-30 Years old;34.0536909;-118.242766
280;$80,000per year;Los Angeles, CA, US;Project Manager;Jun '22;6-7 Years of Experience;26-30 Years old;34.0536909;-118.242766
281;CAD$30per hour;Saskatoon, SK, CA;Intern;Jun '22;2 Years of Experience;26-30 Years old;52.131802;-106.660767
282;$71,000per year;Los Angeles, CA, US;Designer;Jun '22;3-5 Years of Experience;31-35 Years old;34.0536909;-118.242766
283;$75,000per year;Spokane, WA, US;Designer;Jun '22;3 Years of Experience;26-30 Years old;47.6571934;-117.4235106
284;€11,000per year;Athens, GR;Junior Architect;Jun '22;2 Years of Experience;26-30 Years old;37.9839412;23.7283052
285;$52,000per year;Pensacola, FL, US;Designer;Jun '22;3 Years of Experience;31-35 Years old;30.421309;-87.2169149
286;$95,000per year;San Francisco, CA, US;Senior Designer;Jun '22;8-10 Years of Experience;31-35 Years old;37.7790262;-122.419906
287;CAD$84,240per year;Montreal, QC, CA;Associate;Jun '22;8-10 Years of Experience;31-35 Years old;45.5031824;-73.5698065
288;$92,000per year;New York, NY, US;Landscape Architect;Jun '22;6-7 Years of Experience;31-35 Years old;40.7127281;-74.0060152
289;₹240,000per year;Mumbai, IN;Junior Architect;Jun '22;< 1 Years of Experience;21-25 Years old;19.0785451;72.878176
290;$106,000per year;New York, NY, US;Senior Designer;Jun '22;8-10 Years of Experience;36-40 Years old;40.7127281;-74.0060152
291;$54,000per year;Los Angeles, CA, US;Junior Designer;Jun '22;< 1 Years of Experience;26-30 Years old;34.0536909;-118.242766
292;CAD$40per hour;Toronto, ON, CA;Designer;Jun '22;2 Years of Experience;26-30 Years old;43.6534817;-79.3839347
293;€17,978per year;Prague, CZ;Junior Architect;Jun '22;3-5 Years of Experience;26-30 Years old;50.0596288;14.446459273258009
294;$52,400per year;Cincinnati, OH, US;Designer;Jun '22;3-5 Years of Experience;26-30 Years old;39.1014537;-84.5124602
295;$65,000per year;Birmingham, AL, US;Junior Architect;Jun '22;2 Years of Experience;26-30 Years old;33.5206824;-86.8024326
296;$60,000per year;Denver, CO, US;Intermediate Designer;Jun '22;6-7 Years of Experience;31-35 Years old;39.7392364;-104.9848623
297;$62,000per year;Memphis, TN, US;Designer;Jun '22;3-5 Years of Experience;21-25 Years old;35.1335022;-89.9668758
298;$20per hour;San Francisco, CA, US;Student Intern;Jun '22;< 1 Years of Experience;21-25 Years old;37.7790262;-122.419906
299;$49,950per year;Pensacola, FL, US;Designer;Jun '22;1 Years of Experience;26-30 Years old;30.421309;-87.2169149
